Sample ID,Assignee Score,Action Score,Deadline Score,Prediction,Ground Truth,Input Preview
13,0.5,0.64,0.0,"[{""assignee"": ""יונתן"", ""action"": ""לשקול את המגבלות בעלות הייצור בעת עיצוב השלט"", ""deadline"": ""יום ראשון, 14:00""}, {""assignee"": ""מיכל"", ""action"": ""ליצור בקשה לצוות העיצוב"", ""deadline"": ""יום ראשון, 14:00""}, {""assignee"": ""יונתן"", ""action"": ""לדאוג לתאם פגישה עם מחלקת הייצור"", ""deadline"": ""יום ראשון, 14:00""}]","[{""assignee"": ""מיכל"", ""action"": ""ליצור בקשה לצוות העיצוב"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יונתן"", ""action"": ""לדבר עם מחלקת הייצור לגבי העלויות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""מיכל"", ""action"": ""לתאם פגישה עם מחלקת הייצור"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יונתן"", ""action"": ""לבדוק את ה-API החדש"", ""deadline"": ""מחר""}]","יונתן: היי מיכל, יש לנו בעיה עם ה-UI של המוצר החדש. מיכל: כן, ראיתי את זה. אנחנו צריכים לשפר את ה-Us..."
14,0.75,0.73,0.0,"[{""assignee"": ""יוסי"", ""action"": ""חקור ונתח נקודות חולשה של שלטי רחוק נוכחיים"", ""deadline"": ""יום חמישי הבא""}, {""assignee"": ""רונית"", ""action"": ""חקור אפשרות לכלול מכשיר הכוונה לאיתור שלט הרחוק האבוד"", ""deadline"": ""יום ראשון הבא""}, {""assignee"": ""יוסי"", ""action"": ""הכין דוח על האפשרויות לצ'יפ המתקדם לשבוע הבא"", ""deadline"": ""יום רביעי הבא""}, {""assignee"": ""רונית"", ""action"": ""חשוב לבדוק השפעת העלויות של צ'יפ מתקדם על המחיר הסופי"", ""deadline"": ""יום שישי הבא""}]","[{""assignee"": ""יוסי"", ""action"": ""חקור ונתח נקודות חולשה של שלטי רחוק נוכחיים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""חקור את האפשרות לכלול מכשיר הכוונה לאיתור שלט הרחוק האבוד"", ""deadline"": ""לאחר סיום הפרויקט הנוכחי""}, {""assignee"": ""יוסי"", ""action"": ""הכין דוח על האפשרויות לצ'יפ המתקדם"", ""deadline"": ""שבוע הבא""}]","דנה: היי לכולם, אנחנו צריכים להחליט על תכונות נוספות לשלט החדש. יש הצעות? יוסי: אני חושב שכדאי להוסי..."
15,0.0,0.61,0.0,"[{""assignee"": ""יוסי"", ""action"": ""מחקר על אפשרות של גישה לאינטרנט דרך הטלוויזיה"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""דנה"", ""action"": ""בדיקת התאמה לפרוטוקול אינפרא אדום קיים"", ""deadline"": ""סוף החודש""}, {""assignee"": ""אבי"", ""action"": ""רשימת רכיבים אפשריים והעלויות/זמינות שלהם"", ""deadline"": ""שבוע הבא""}]","[{""assignee"": ""דנה"", ""action"": ""לחקור אפשרות לגישה לאינטרנט דרך הטלוויזיה"", ""deadline"": ""27/10/2023""}, {""assignee"": ""אבי"", ""action"": ""לבדוק התאמה לפרוטוקול אינפרא אדום קיים"", ""deadline"": ""27/10/2023""}]",יוסי: איך אנחנו מתקדמים עם הפרויקט של ה-Smart TV? דנה: אנחנו צריכים לחקור את האפשרות של גישה לאינטרנ...
16,0.67,0.5,0.33,"[{""assignee"": ""דני"", ""action"": ""בדוק את העלויות והפוטנציאל השוקי"", ""deadline"": ""יום רביעי""}, {""assignee"": ""נועה"", ""action"": ""חקור תארכות דמות דובר"", ""deadline"": ""יום רביעי""}]","[{""assignee"": ""דני"", ""action"": ""בדיקת עלויות סוללה קינטית"", ""deadline"": ""מחר בצהריים""}, {""assignee"": ""נועה"", ""action"": ""חקירת תארכות דמות דובר בדפדוף"", ""deadline"": ""יום רביעי""}, {""assignee"": ""דני"", ""action"": ""חקר הפוטנציאל השוקי של המוצר"", ""deadline"": ""סוף השבוע""}]","יואב: אוקיי, בואו נעבור על המשימות שלנו להיום. קודם כל, אנחנו צריכים להחליט אם אנחנו משתמשים בסוללה ..."
17,0.25,0.67,0.0,"[{""assignee"": ""יוסי"", ""action"": ""גדרת פונקציות בסיסיות לשלט"", ""deadline"": ""יום ראשון""}, {""assignee"": ""נועה"", ""action"": ""ניתוח עלויות"", ""deadline"": ""יום ראשון""}, {""assignee"": ""אבי"", ""action"": ""לוח זמנים"", ""deadline"": ""יום ראשון""}, {""assignee"": ""דנה"", ""action"": ""עדכון על הפגישה הבאה"", ""deadline"": ""יום ראשון""}]","[{""assignee"": ""יוסי"", ""action"": ""הוספת Voice Control בגרסה הבאה"", ""deadline"": ""סוף נובמבר""}, {""assignee"": ""אבי"", ""action"": ""ניתוח עלויות לתפריטים נפרדים"", ""deadline"": ""אמצע נובמבר""}, {""assignee"": ""דנה"", ""action"": ""הצעה ללוח זמנים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""שליחת סיכום הפגישה"", ""deadline"": ""מייד לאחר הפגישה""}]","יוסי: אז בואו נתחיל עם הגדרת הפונקציות הבסיסיות לשלט. נועה: כן, אני חושבת שחשוב להתמקד ב-User Prefer..."
18,1.0,0.8,1.0,"[{""assignee"": ""יוסי"", ""action"": ""נתח את הנתונים הקיימים וראה איך הם משתלבים בשוק הנוכחי"", ""deadline"": ""יום חמישי""}, {""assignee"": ""דני"", ""action"": ""תאם עם מחלקת הלוגיסטיקה אם יש חדר פנוי לפאולה"", ""deadline"": ""יום שני""}]","[{""assignee"": ""יוסי"", ""action"": ""לנתח את הנתונים הקיימים להערכת הביקוש השוקי לשלט"", ""deadline"": ""חמישי""}, {""assignee"": ""דני"", ""action"": ""לתאם עם מחלקת הלוגיסטיקה להקצאת חדר לפאולה"", ""deadline"": ""שני""}]","דני: חבר'ה, בוקר טוב. אנחנו צריכים להעריך את הביקוש השוקי לשלט הרחוק החדש שלנו. נועה: נכון, השלט צרי..."
19,0.33,0.25,0.0,"[{""assignee"": ""דני"", ""action"": ""מצוער חברת הובלה ולהכין את לוח הזמנים."", ""deadline"": ""סוף החודש""}, {""assignee"": ""מיכל"", ""action"": ""צור קשר עם הצוותים ואיתור זמנים להתקנת הציוד."", ""deadline"": ""עד סוף השבוע""}]","[{""assignee"": ""דני"", ""action"": ""לתאם עם חברת ההובלה"", ""deadline"": ""31/10/2023""}, {""assignee"": ""מיכל"", ""action"": ""ליצור קשר עם הצוותים ולבדוק זמינות"", ""deadline"": ""01/11/2023""}, {""assignee"": ""מיכל"", ""action"": ""לסדר זמן להתקנת הציוד במקום החדש עם הצוות הטכני"", ""deadline"": ""05/11/2023""}, {""assignee"": ""מיכל"", ""action"": ""להכין רשימה של הציוד שצריך להעביר"", ""deadline"": ""03/11/2023""}, {""assignee"": ""מיכל"", ""action"": ""להכין מסמכים לתיאום לוגיסטי"", ""deadline"": ""04/11/2023""}, {""assignee"": ""דני"", ""action"": ""לחפש הצעות מחיר להובלה"", ""deadline"": ""02/11/2023""}]","דני: היי מיכל, אנחנו צריכים לתאם את לוגיסטיקת ההובלה ולוח הזמנים לפרויקט החדש. מיכל: כן, אני יודעת. ..."
20,0.5,0.34,0.5,"[{""assignee"": ""יוסי"", ""action"": ""בדוק אפשרויות קיימות לשילוב מכשיר מעקב עם existing infrastructure"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""שרה"", ""action"": ""בדוק פתרונות נוספים למציאת שלטים שאבדו"", ""deadline"": ""סוף השבוע""}]","[{""assignee"": ""שרה"", ""action"": ""לנתח את ההשפעה הכלכלית של כל נקודת מחיר"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק איך השינויים ישפיעו על ה-UI/UX"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק אפשרויות קיימות לשילוב מכשירי מעקב"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""שרה"", ""action"": ""לבדוק פתרונות נוספים כמו אפליקציות לנייד"", ""deadline"": ""סוף השבוע""}]","דוד: שלום לכולם, בואו נתחיל את הפגישה. נתחיל עם הניתוח של נקודות המחיר השונות על העיצוב והתכונות. שר..."
21,0.75,0.89,0.5,"[{""assignee"": ""מיכל"", ""action"": ""בדוק את הנושא של Python"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""עבוד על ה-design system"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""יוסי"", ""action"": ""עזור עם ה-notifications"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""מיכל"", ""action"": ""עשה performance testing על ה-database"", ""deadline"": ""שבוע הבא""}]","[{""assignee"": ""מיכל"", ""action"": ""לבדוק את השימוש ב-Python"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""לעבוד על ה-design system"", ""deadline"": ""בעוד שבוע""}, {""assignee"": ""מיכל"", ""action"": ""לעשות performance testing על ה-database"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""לעבוד על הפיצ'ר של ה-notifications עם יוסי"", ""deadline"": ""בשבוע הבא""}]","דני: בוקר טוב לכולם, בואו נתחיל עם סקירה של מה שצריך לעשות היום. מיכל: כן, אני רוצה לוודא שכולם מבינ..."
22,0.71,0.64,0.43,"[{""assignee"": ""יוסי"", ""action"": ""בחירת מקורות האנרגיה"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""בדיקת סוללות סולאריות"", ""deadline"": ""מחר בערב""}, {""assignee"": ""אבי"", ""action"": ""עיצוב מודלים בתוכנת CAD"", ""deadline"": ""היום""}, {""assignee"": ""יוסי"", ""action"": ""הערכת ייצור עד סוף השבוע"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""בדיקות לגבי AI"", ""deadline"": ""לאחר קבלת הפרטים""}, {""assignee"": ""אבי"", ""action"": ""שילוב כפתור עזרה חכם"", ""deadline"": ""לאחר קבלת הפרטים""}, {""assignee"": ""יוסי"", ""action"": ""עקיבה ועדכון"", ""deadline"": ""סוף השבוע""}]","[{""assignee"": ""רונית"", ""action"": ""בדיקה של סוללות סולאריות"", ""deadline"": ""מחר בערב""}, {""assignee"": ""יוסי"", ""action"": ""סיום תהליך ההערכה לייצור"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""אבי"", ""action"": ""בדיקת אפשרויות לממש כפתור עזרה חכם"", ""deadline"": ""ללא תאריך ספציפי""}, {""assignee"": ""רונית"", ""action"": ""הובלת קבוצת מיקוד לקבלת תגובות על העיצוב"", ""deadline"": ""ללא תאריך ספציפי""}, {""assignee"": ""יוסי"", ""action"": ""מעקב ותיעוד עם הצוות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""בדיקות לגבי AI"", ""deadline"": ""ללא תאריך ספציפי""}]",יוסי: אני חושב שאנחנו צריכים להתחיל בבחירת מקורות האנרגיה. מה אתם אומרים על שילוב סוללות מסורתיות וס...
23,0.67,0.78,1.0,"[{""assignee"": ""יוסי"", ""action"": ""בדוק את עלות ה-LCD"", ""deadline"": ""יום חמישי""}, {""assignee"": ""נועה"", ""action"": ""בדוק עיצובי הפרוטוטייפ"", ""deadline"": ""יום ראשון""}, {""assignee"": ""כולם"", ""action"": ""סיעור מוחות על עיצובים חדשים"", ""deadline"": ""יום רביעי""}]","[{""assignee"": ""יוסי"", ""action"": ""לבדוק את עלות ה-LCD"", ""deadline"": ""חמישי""}, {""assignee"": ""נועה"", ""action"": ""לבדוק את פונקציונליות ותומך המשתמש של עיצובי הפרוטוטייפ"", ""deadline"": ""ראשון""}, {""assignee"": ""נועה"", ""action"": ""לערוך סיעור מוחות על צורות מעוגלות ומהפכניות לעיצוב"", ""deadline"": ""רביעי""}]","יוסי: בוקר טוב חברים, בואו נתחיל את הישיבה שלנו. נועה: בוקר טוב יוסי. מה הנושאים שעל הפרק היום? אורן..."
25,0.17,0.44,0.5,"[{""assignee"": ""יוסי"", ""action"": ""אישור מונחים כמו \""galactic reddening\"""", ""deadline"": ""מחר""}, {""assignee"": ""רונית"", ""action"": ""אישור מונחים כמו \""galactic reddening\"""", ""deadline"": ""מחר""}, {""assignee"": ""דני"", ""action"": ""עיצוב שלט רחוק קל לשימוש עם זיהוי פקולי פשוט"", ""deadline"": ""שבועיים""}, {""assignee"": ""רונית"", ""action"": ""ערך מוסף לשלט הרחוק"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דני"", ""action"": ""סקיצה ראשונה לשלט הרחוק"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""בדיקת המאפיינים הספקטרליים ועדכון על תוצאות"", ""deadline"": ""לא ידוע""}]","[{""assignee"": ""רונית"", ""action"": ""אשר את כלולם של מונחים כמו \""galactic reddening\"""", ""deadline"": ""מחר""}, {""assignee"": ""רונית"", ""action"": ""לעצב את השלט הרחוק עם זיהוי פקולי פשוט"", ""deadline"": ""שבועיים""}, {""assignee"": ""דני"", ""action"": ""הכנת סקיצה ראשונית לשלט הרחוק"", ""deadline"": ""סוף השבוע""}]","יוסי: היי רונית, איך התקדמנו עם האישורים למונחים כמו ""galactic reddening""? רונית: היי יוסי, אנחנו עד..."
26,0.75,0.59,0.75,"[{""assignee"": ""דנה"", ""action"": ""עדכן את הסיכום לגבי המדידות"", ""deadline"": ""מחר בערב""}, {""assignee"": ""יוסי"", ""action"": ""עבוד על סכימת הצבעים ולוגו"", ""deadline"": ""היום בערב""}, {""assignee"": ""רותם"", ""action"": ""בדוק חסרי ההעתקה והתכונות המתקדמות"", ""deadline"": ""סוף השבוע""}]","[{""assignee"": ""רותם"", ""action"": ""לעבוד על תכונות מתקדמות מוסתרות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דנה"", ""action"": ""לעדכן את הסיכום לגבי מדידות חשיבות"", ""deadline"": ""מחר בערב""}, {""assignee"": ""יוסי"", ""action"": ""לטפל בסכימת הצבעים ולוגו"", ""deadline"": ""היום בערב""}, {""assignee"": ""רותם"", ""action"": ""לבדוק חסרי ההעתקה"", ""deadline"": ""סוף השבוע""}]","דנה: אנחנו צריכים לעדכן את הסיכום כדי שיטפל במדידות חשיבות שונות ובבחירת קטעים. יוסי: נכון, זה יכול ..."
27,0.6,0.53,0.2,"[{""assignee"": ""דני"", ""action"": ""בדוק את השלט והתפריט על הטלוויזיה במקום על השלט."", ""deadline"": ""יום חמישי""}, {""assignee"": ""מיכל"", ""action"": ""עבוד על כנתח שאלונים למשתמשים וסכימת ממצאים אחרי הפגישה."", ""deadline"": ""יום חמישי""}, {""assignee"": ""דני"", ""action"": ""עצב את השלט שיהיה יותר ידידותי למשתמש ומושך."", ""deadline"": ""יום חמישי""}, {""assignee"": ""מיכל"", ""action"": ""כין סיכום של הפגישה ושלח לכל הצוות."", ""deadline"": ""יום חמישי""}, {""assignee"": ""דני"", ""action"": ""עדכן את כולם על ההתקדמות שלנו אחרי זה."", ""deadline"": ""יום חמישי""}]","[{""assignee"": ""דני"", ""action"": ""בדיקת השפעת הצגת תפריט על הטלוויזיה על ה-UI וה-UX"", ""deadline"": ""בשבוע הבא""}, {""assignee"": ""דני"", ""action"": ""הכנת שאלונים למשתמשים"", ""deadline"": ""לפני הפגישה הבאה""}, {""assignee"": ""דני"", ""action"": ""עיצוב שלט ידידותי למשתמש"", ""deadline"": ""חמישי""}, {""assignee"": ""מיכל"", ""action"": ""הכנת סיכום של הפגישה"", ""deadline"": ""אחרי הפגישה""}]","דני: היי מיכל, חשבתי על הרעיון של להציג את התפריט על הטלוויזיה במקום על השלט. מה דעתך? מיכל: זה נשמע..."
