Sample ID,Assignee Score,Action Score,Deadline Score,Prediction (Translated),Ground Truth
11,0.0,0.0,0.0,[],"[{""assignee"": ""נועה"", ""action"": ""להעריך את העדפות המשתמשים באפשרויות צבע לשלט הרחוק"", ""deadline"": ""10/11/2023""}, {""assignee"": ""קייט וקנדרה"", ""action"": ""לייצר מודל לצורך ביקורת ודיון נוסף"", ""deadline"": ""17/11/2023""}]"
12,0.0,0.0,0.0,[],"[{""assignee"": ""דנה"", ""action"": ""כתיבת Unit Tests"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דנה"", ""action"": ""התחלת Deployment"", ""deadline"": ""יום ראשון""}, {""assignee"": ""דנה"", ""action"": ""תיעדוף Bug List"", ""deadline"": ""לא צוין""}, {""assignee"": ""יוסי"", ""action"": ""ביצוע Code Review"", ""deadline"": ""יום שני""}, {""assignee"": ""דנה"", ""action"": ""הכנת דוח סטטוס"", ""deadline"": ""יום רביעי""}, {""assignee"": ""דנה"", ""action"": ""שליחת מסמך עם הצעות לשיפור UI"", ""deadline"": ""מחר""}]"
13,0.0,0.0,0.0,[],"[{""assignee"": ""מיכל"", ""action"": ""ליצור בקשה לצוות העיצוב"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יונתן"", ""action"": ""לדבר עם מחלקת הייצור לגבי העלויות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""מיכל"", ""action"": ""לתאם פגישה עם מחלקת הייצור"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יונתן"", ""action"": ""לבדוק את ה-API החדש"", ""deadline"": ""מחר""}]"
14,0.0,0.0,0.0,[],"[{""assignee"": ""יוסי"", ""action"": ""חקור ונתח נקודות חולשה של שלטי רחוק נוכחיים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""חקור את האפשרות לכלול מכשיר הכוונה לאיתור שלט הרחוק האבוד"", ""deadline"": ""לאחר סיום הפרויקט הנוכחי""}, {""assignee"": ""יוסי"", ""action"": ""הכין דוח על האפשרויות לצ'יפ המתקדם"", ""deadline"": ""שבוע הבא""}]"
15,0.0,0.0,0.0,[],"[{""assignee"": ""דנה"", ""action"": ""לחקור אפשרות לגישה לאינטרנט דרך הטלוויזיה"", ""deadline"": ""27/10/2023""}, {""assignee"": ""אבי"", ""action"": ""לבדוק התאמה לפרוטוקול אינפרא אדום קיים"", ""deadline"": ""27/10/2023""}]"
16,0.0,0.0,0.0,[],"[{""assignee"": ""דני"", ""action"": ""בדיקת עלויות סוללה קינטית"", ""deadline"": ""מחר בצהריים""}, {""assignee"": ""נועה"", ""action"": ""חקירת תארכות דמות דובר בדפדוף"", ""deadline"": ""יום רביעי""}, {""assignee"": ""דני"", ""action"": ""חקר הפוטנציאל השוקי של המוצר"", ""deadline"": ""סוף השבוע""}]"
17,0.0,0.0,0.0,[],"[{""assignee"": ""יוסי"", ""action"": ""הוספת Voice Control בגרסה הבאה"", ""deadline"": ""סוף נובמבר""}, {""assignee"": ""אבי"", ""action"": ""ניתוח עלויות לתפריטים נפרדים"", ""deadline"": ""אמצע נובמבר""}, {""assignee"": ""דנה"", ""action"": ""הצעה ללוח זמנים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""שליחת סיכום הפגישה"", ""deadline"": ""מייד לאחר הפגישה""}]"
18,0.0,0.0,0.0,[],"[{""assignee"": ""יוסי"", ""action"": ""לנתח את הנתונים הקיימים להערכת הביקוש השוקי לשלט"", ""deadline"": ""חמישי""}, {""assignee"": ""דני"", ""action"": ""לתאם עם מחלקת הלוגיסטיקה להקצאת חדר לפאולה"", ""deadline"": ""שני""}]"
19,0.33,0.26,0.0,"[{""name"": ""Michal"", ""action"": ""ליצור קשר עם חברי הצוות""}, {""name"": ""Dan"", ""action"": ""למצוא חברת הובלות""}]","[{""assignee"": ""דני"", ""action"": ""לתאם עם חברת ההובלה"", ""deadline"": ""31/10/2023""}, {""assignee"": ""מיכל"", ""action"": ""ליצור קשר עם הצוותים ולבדוק זמינות"", ""deadline"": ""01/11/2023""}, {""assignee"": ""מיכל"", ""action"": ""לסדר זמן להתקנת הציוד במקום החדש עם הצוות הטכני"", ""deadline"": ""05/11/2023""}, {""assignee"": ""מיכל"", ""action"": ""להכין רשימה של הציוד שצריך להעביר"", ""deadline"": ""03/11/2023""}, {""assignee"": ""מיכל"", ""action"": ""להכין מסמכים לתיאום לוגיסטי"", ""deadline"": ""04/11/2023""}, {""assignee"": ""דני"", ""action"": ""לחפש הצעות מחיר להובלה"", ""deadline"": ""02/11/2023""}]"
20,0.0,0.0,0.0,[],"[{""assignee"": ""שרה"", ""action"": ""לנתח את ההשפעה הכלכלית של כל נקודת מחיר"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק איך השינויים ישפיעו על ה-UI/UX"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""יוסי"", ""action"": ""לבדוק אפשרויות קיימות לשילוב מכשירי מעקב"", ""deadline"": ""שבוע הבא""}, {""assignee"": ""שרה"", ""action"": ""לבדוק פתרונות נוספים כמו אפליקציות לנייד"", ""deadline"": ""סוף השבוע""}]"
21,0.0,0.0,0.0,[],"[{""assignee"": ""מיכל"", ""action"": ""לבדוק את השימוש ב-Python"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""לעבוד על ה-design system"", ""deadline"": ""בעוד שבוע""}, {""assignee"": ""מיכל"", ""action"": ""לעשות performance testing על ה-database"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""נועה"", ""action"": ""לעבוד על הפיצ'ר של ה-notifications עם יוסי"", ""deadline"": ""בשבוע הבא""}]"
22,0.0,0.0,0.0,[],"[{""assignee"": ""רונית"", ""action"": ""בדיקה של סוללות סולאריות"", ""deadline"": ""מחר בערב""}, {""assignee"": ""יוסי"", ""action"": ""סיום תהליך ההערכה לייצור"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""אבי"", ""action"": ""בדיקת אפשרויות לממש כפתור עזרה חכם"", ""deadline"": ""ללא תאריך ספציפי""}, {""assignee"": ""רונית"", ""action"": ""הובלת קבוצת מיקוד לקבלת תגובות על העיצוב"", ""deadline"": ""ללא תאריך ספציפי""}, {""assignee"": ""יוסי"", ""action"": ""מעקב ותיעוד עם הצוות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""רונית"", ""action"": ""בדיקות לגבי AI"", ""deadline"": ""ללא תאריך ספציפי""}]"
23,0.0,0.0,0.0,[],"[{""assignee"": ""יוסי"", ""action"": ""לבדוק את עלות ה-LCD"", ""deadline"": ""חמישי""}, {""assignee"": ""נועה"", ""action"": ""לבדוק את פונקציונליות ותומך המשתמש של עיצובי הפרוטוטייפ"", ""deadline"": ""ראשון""}, {""assignee"": ""נועה"", ""action"": ""לערוך סיעור מוחות על צורות מעוגלות ומהפכניות לעיצוב"", ""deadline"": ""רביעי""}]"
24,0.0,0.0,0.0,[],"[{""assignee"": ""דני"", ""action"": ""בדוק וסיים את פרוטוקולי הפגישה הראשונה"", ""deadline"": ""סוף היום""}, {""assignee"": ""יואב"", ""action"": ""חקור את הפוטנציאל של פונקצית חיפוש ייחודית לשלט והבא דו\""ח"", ""deadline"": ""יום ראשון הבא""}]"
25,0.0,0.0,0.0,[],"[{""assignee"": ""רונית"", ""action"": ""אשר את כלולם של מונחים כמו \""galactic reddening\"""", ""deadline"": ""מחר""}, {""assignee"": ""רונית"", ""action"": ""לעצב את השלט הרחוק עם זיהוי פקולי פשוט"", ""deadline"": ""שבועיים""}, {""assignee"": ""דני"", ""action"": ""הכנת סקיצה ראשונית לשלט הרחוק"", ""deadline"": ""סוף השבוע""}]"
26,0.0,0.0,0.0,[],"[{""assignee"": ""רותם"", ""action"": ""לעבוד על תכונות מתקדמות מוסתרות"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דנה"", ""action"": ""לעדכן את הסיכום לגבי מדידות חשיבות"", ""deadline"": ""מחר בערב""}, {""assignee"": ""יוסי"", ""action"": ""לטפל בסכימת הצבעים ולוגו"", ""deadline"": ""היום בערב""}, {""assignee"": ""רותם"", ""action"": ""לבדוק חסרי ההעתקה"", ""deadline"": ""סוף השבוע""}]"
27,0.0,0.0,0.0,[],"[{""assignee"": ""דני"", ""action"": ""בדיקת השפעת הצגת תפריט על הטלוויזיה על ה-UI וה-UX"", ""deadline"": ""בשבוע הבא""}, {""assignee"": ""דני"", ""action"": ""הכנת שאלונים למשתמשים"", ""deadline"": ""לפני הפגישה הבאה""}, {""assignee"": ""דני"", ""action"": ""עיצוב שלט ידידותי למשתמש"", ""deadline"": ""חמישי""}, {""assignee"": ""מיכל"", ""action"": ""הכנת סיכום של הפגישה"", ""deadline"": ""אחרי הפגישה""}]"
28,0.0,0.0,0.0,[],"[{""assignee"": ""אורן"", ""action"": ""לבדוק את האפשרות והעלות של שמירה על האריכולציה"", ""deadline"": ""יום שני הבא""}, {""assignee"": ""דנה"", ""action"": ""לדבר עם רותי על חקר אפשרויות שכבת ספוג"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דנה"", ""action"": ""לעבוד עם דני על שיפור תכונות עם תצוגות גרפיות ורכיבים אינטראקטיביים"", ""deadline"": ""סוף השבוע""}]"
29,0.0,0.0,0.0,[],"[{""assignee"": ""נועה"", ""action"": ""לסיים את פונקציות הכפתורים"", ""deadline"": ""סוף השבוע""}, {""assignee"": ""דנה"", ""action"": ""לעבוד על העיצוב ולשלב CSS"", ""deadline"": ""אמצע השבוע הבא""}]"
30,0.0,0.0,0.0,[],"[{""assignee"": ""רותם"", ""action"": ""סקירה מלאה של ההיפנות ולהבטיח עקביות"", ""deadline"": ""היום בערב""}, {""assignee"": ""רותם"", ""action"": ""ביצוע הערכה של תהליך ה-Data Analysis"", ""deadline"": ""מחר בבוקר""}, {""assignee"": ""רותם"", ""action"": ""חקר האפשרות להוסיף Themes חדשים"", ""deadline"": ""בשבוע הבא""}, {""assignee"": ""נועה"", ""action"": ""הכנת ושליחת הודעת פרויקט לצוות"", ""deadline"": ""מחר בצהריים""}]"
